id_fattura,cliente_id,cliente_nome,data_emissione,valuta,importo
F0001,C001,Rossi S.r.l.,2025-03-10,EUR,1500.00
F0002,C002,Bianchi SpA,2025-03-11,USD,2000.00
F0003,C007,Acme Corp,2025-03-12,USD,5000.00
F0004,C007,Acme Corp,2025-06-15,USD,3000.00
F0005,C003,Müller GmbH,2025-06-15,EUR,1200.00
F0006,C003,Müller GmbH,2025-06-14,GBP,800.00
F0007,,Bianchi SpA,2025-03-13,EUR,900.00
F0008,C999,Bianchi SpA,2025-03-14,EUR,750.00
F0009,C050,Sconosciuti Srl,2025-03-15,EUR,400.00
F0010,C001,Rossi SRL,2025-03-17,EUR,1100.00
F0011,C013,Océane Média,2025-01-01,USD,600.00
F0012,C005,García y Asociados SL,2025-04-20,USD,1800.00
F0013,C006,Dupont SARL,2025-05-05,CHF,2500.00
F0014,C014,Schmidt AG,2025-05-06,USD,4000.00
F0015,C014,Schmidt AG,2025-05-07,EUR,1000.00
F0016,C002,Bianchi SpA,2025-07-14,AED,3500.00
F0017,C001,Rossi S.r.l.,2025-07-15,EUR,-500.00
F0018,C008,Verdi & Co,2025-08-11,USD,1300.00
F0019,C009,Neri Trading,2025-08-12,EUR,700.00
F0020,C010,Global Tech Ltd,2025-08-13,GBP,950.00
F0021,C011,Ferrari Spa,2025-09-01,EUR,1600.00
F0022,C012,Lopez SL,2025-09-02,USD,2100.00
F0023,C001,Rossi S.r.l.,2025-09-03,USD,"1.234,56"
F0024,C003,Müller GmbH,2025-09-05,USD,
F0025,C003,Müller GmbH,2025-09-05,,1400.00
F0026,C005,García y Asociados SL,2025-12-25,USD,1900.00
F0027,C001,Rossi S.r.l.,2025-03-10,EUR,1500.00
F0028,C006,Dupont SARL,2025-06-15,USD,2600.00
